func_name,func_text,query,response
,,Name the following assembly function:\n,\nMOV\n\nMOV is an assembly function that stands for "Move" and is used to move data from one location in memory to another.sub_403da5
,403da5  nop     dword  ptr  [rax]\n,Name the following assembly function:\n403da5  nop     dword  ptr  [rax]\n,\nNo Operation (NOP)sub_403dc6
,,Name the following assembly function:\n,\nMOV\n\nMOV is an assembly function that stands for "Move" and is used to move data from one location to another.sub_403e25
,403e25  nop     dword  ptr  [rax]\n,Name the following assembly function:\n403e25  nop     dword  ptr  [rax]\n,\nNOP (No Operation)sub_403e61
,403e61  nop     dword  ptr  [rax]\n,Name the following assembly function:\n403e61  nop     dword  ptr  [rax]\n,\nNOP Operationsub_403ea8
,403ea8  nop     dword  ptr  [rax+rax]\n,Name the following assembly function:\n403ea8  nop     dword  ptr  [rax+rax]\n,\nNo Operation (NOP)sub_403ef7
,403ef7  nop     word  ptr  [rax+rax]\n,Name the following assembly function:\n403ef7  nop     word  ptr  [rax+rax]\n,\nNo Operation (NOP)sub_403f54
,403f54  nop     dword  ptr  [rax]\n,Name the following assembly function:\n403f54  nop     dword  ptr  [rax]\n,\nNo Operation (NOP)sub_403f82
,403f82  nop     word  ptr  [rax+rax]\n,Name the following assembly function:\n403f82  nop     word  ptr  [rax+rax]\n,\nNo operation (NOP)sub_404036
,,Name the following assembly function:\n,\nMOV\n\nMOV is a Assembly language instruction that moves data from one location to another.sub_404087
,404087  nop     word  ptr  [rax+rax]\n,Name the following assembly function:\n404087  nop     word  ptr  [rax+rax]\n,\nNo Operation (NOP)version_etc_ar
,404090  xor     r9d, r9d\n404093  cmp     qword  ptr  [r8], 0x0\n404097  je      0x4040ab\n4040ab  jmp     version_etc_arn\n404099  nop     dword  ptr  [rax]\n+>4040a0  add     r9, 0x1\n| 4040a4  cmp     qword  ptr  [r8+r9*0x8], 0x0\n+-4040a9  jne     0x4040a0\n,Name the following assembly function:\n404090  xor     r9d, r9d\n404093  cmp     qword  ptr  [r8], 0x0\n404097  je      0x4040ab\n4040ab  jmp     version_etc_arn\n404099  nop     dword  ptr  [rax]\n+>4040a0  add     r9, 0x1\n| 4040a4  cmp     qword  ptr  [r8+r9*0x8], 0x0\n+-4040a9  jne     0x4040a0\n,\nIncrementing Counter Functionversion_etc_va
,4040b0  sub     rsp, 0x68\n4040b4  mov     r10, r8\n4040b7  xor     r9d, r9d\n4040c3  mov     qword  ptr  [rsp+0x58], rax\n4040c8  xor     eax, eax\n4040ca  mov     r8, rsp\n4040cd  nop     dword  ptr  [rax]\n\n4040d0  mov     eax, dword  ptr  [r10]\n4040d3  cmp     eax, 0x2f\n4040d6  ja      0x40411a\n4040d8  mov     r11d, eax\n4040db  add     r11, qword  ptr  [r10+0x10]\n4040df  add     eax, 0x8\n4040e2  mov     dword  ptr  [r10], eax\n\n4040e5  mov     rax, qword  ptr  [r11]\n4040e8  test    rax, rax\n4040eb  mov     qword  ptr  [r8+r9*0x8], rax\n4040ef  je      0x4040fb\n40411a  mov     r11, qword  ptr  [r10+0x8]\n40411e  lea     rax,  [r11+0x8]\n404122  mov     qword  ptr  [r10+0x8], rax\n404126  jmp     0x4040e5\n4040fb  call    version_etc_arn\n4040f1  add     r9, 0x1\n4040f5  cmp     r9, 0xa\n4040f9  jne     0x4040d0\n4040e5  mov     rax, qword  ptr  [r11]\n4040e8  test    rax, rax\n4040eb  mov     qword  ptr  [r8+r9*0x8], rax\n4040ef  je      0x4040fb\n404100  mov     rax, qword  ptr  [rsp+0x58]\n40410e  jne     0x404115\n4040d0  mov     eax, dword  ptr  [r10]\n4040d3  cmp     eax, 0x2f\n4040d6  ja      0x40411a\n404110  add     rsp, 0x68\n404114  ret     \n404115  call    __stack_chk_fail\n,Name the following assembly function:\n4040b0  sub     rsp, 0x68\n4040b4  mov     r10, r8\n4040b7  xor     r9d, r9d\n4040c3  mov     qword  ptr  [rsp+0x58], rax\n4040c8  xor     eax, eax\n4040ca  mov     r8, rsp\n4040cd  nop     dword  ptr  [rax]\n\n4040d0  mov     eax, dword  ptr  [r10]\n4040d3  cmp     eax, 0x2f\n4040d6  ja      0x40411a\n4040d8  mov     r11d, eax\n4040db  add     r11, qword  ptr  [r10+0x10]\n4040df  add     eax, 0x8\n4040e2  mov     dword  ptr  [r10], eax\n\n4040e5  mov     rax, qword  ptr  [r11]\n4040e8  test    rax, rax\n4040eb  mov     qword  ptr  [r8+r9*0x8], rax\n4040ef  je      0x4040fb\n40411a  mov     r11, qword  ptr  [r10+0x8]\n40411e  lea     rax,  [r11+0x8]\n404122  mov     qword  ptr  [r10+0x8], rax\n404126  jmp     0x4040e5\n4040fb  call    version_etc_arn\n4040f1  add     r9, 0x1\n4040f5  cmp     r9, 0xa\n4040f9  jne     0x4040d0\n4040e5  mov     rax, qword  ptr  [r11]\n4040e8  test    rax, rax\n4040eb  mov     qword  ptr  [r8+r9*0x8], rax\n4040ef  je      0x4040fb\n404100  mov     rax, qword  ptr  [rsp+0x58]\n40410e  jne     0x404115\n4040d0  mov     eax, dword  ptr  [r10]\n4040d3  cmp     eax, 0x2f\n4040d6  ja      0x40411a\n404110  add     rsp, 0x68\n404114  ret     \n404115  call    __stack_chk_fail\n,\nversion_etc_arn functionsub_404128
,404128  nop     dword  ptr  [rax+rax]\n,Name the following assembly function:\n404128  nop     dword  ptr  [rax+rax]\n,\nNo Operation (NOP) Functionversion_etc
,404130  push    rbp\n404131  push    rbx\n404132  mov     r10d, 0x20\n404138  xor     r11d, r11d\n40413b  sub     rsp, 0xb8\n40414b  mov     qword  ptr  [rsp+0x78], rax\n404150  xor     eax, eax\n404152  lea     rax,  [rsp+0xd0]\n40415a  mov     qword  ptr  [rsp+0xa0], r8\n404162  lea     rbx,  [rsp+0xd0]\n40416a  lea     r8,  [rsp+0x20]\n40416f  mov     qword  ptr  [rsp+0xa8], r9\n404177  mov     dword  ptr  [rsp+0x8], 0x20\n40417f  mov     qword  ptr  [rsp+0x10], rax\n404184  lea     rax,  [rsp+0x80]\n40418c  xor     r9d, r9d\n40418f  mov     qword  ptr  [rsp+0x18], rax\n404194  mov     rbp, rax\n404197  nop     word  ptr  [rax+rax]\n\n4041a0  cmp     r10d, 0x2f\n4041a4  ja      0x4041fc\n4041a6  mov     eax, r10d\n4041a9  mov     r11d, 0x1\n4041af  add     r10d, 0x8\n4041b3  add     rax, rbp\n\n4041b6  mov     rax, qword  ptr  [rax]\n4041b9  test    rax, rax\n4041bc  mov     qword  ptr  [r8+r9*0x8], rax\n4041c0  je      0x4041cc\n4041fc  mov     rax, rbx\n4041ff  add     rbx, 0x8\n404203  jmp     0x4041b6\n4041cc  test    r11b, r11b\n4041cf  jne     0x4041f5\n4041c2  add     r9, 0x1\n4041c6  cmp     r9, 0xa\n4041ca  jne     0x4041a0\n4041b6  mov     rax, qword  ptr  [rax]\n4041b9  test    rax, rax\n4041bc  mov     qword  ptr  [r8+r9*0x8], rax\n4041c0  je      0x4041cc\n4041d1  call    version_etc_arn\n4041f5  mov     dword  ptr  [rsp+0x8], r10d\n4041fa  jmp     0x4041d1\n4041a0  cmp     r10d, 0x2f\n4041a4  ja      0x4041fc\n4041d6  mov     rax, qword  ptr  [rsp+0x78]\n4041e4  jne     0x4041f0\n4041e6  add     rsp, 0xb8\n4041ed  pop     rbx\n4041ee  pop     rbp\n4041ef  ret     \n4041f0  call    __stack_chk_fail\n,Name the following assembly function:\n404130  push    rbp\n404131  push    rbx\n404132  mov     r10d, 0x20\n404138  xor     r11d, r11d\n40413b  sub     rsp, 0xb8\n40414b  mov     qword  ptr  [rsp+0x78], rax\n404150  xor     eax, eax\n404152  lea     rax,  [rsp+0xd0]\n40415a  mov     qword  ptr  [rsp+0xa0], r8\n404162  lea     rbx,  [rsp+0xd0]\n40416a  lea     r8,  [rsp+0x20]\n40416f  mov     qword  ptr  [rsp+0xa8], r9\n404177  mov     dword  ptr  [rsp+0x8], 0x20\n40417f  mov     qword  ptr  [rsp+0x10], rax\n404184  lea     rax,  [rsp+0x80]\n40418c  xor     r9d, r9d\n40418f  mov     qword  ptr  [rsp+0x18], rax\n404194  mov     rbp, rax\n404197  nop     word  ptr  [rax+rax]\n\n4041a0  cmp     r10d, 0x2f\n4041a4  ja      0x4041fc\n4041a6  mov     eax, r10d\n4041a9  mov     r11d, 0x1\n4041af  add     r10d, 0x8\n4041b3  add     rax, rbp\n\n4041b6  mov     rax, qword  ptr  [rax]\n4041b9  test    rax, rax\n4041bc  mov     qword  ptr  [r8+r9*0x8], rax\n4041c0  je      0x4041cc\n4041fc  mov     rax, rbx\n4041ff  add     rbx, 0x8\n404203  jmp     0x4041b6\n4041cc  test    r11b, r11b\n4041cf  jne     0x4041f5\n4041c2  add     r9, 0x1\n4041c6  cmp     r9, 0xa\n4041ca  jne     0x4041a0\n4041b6  mov     rax, qword  ptr  [rax]\n4041b9  test    rax, rax\n4041bc  mov     qword  ptr  [r8+r9*0x8], rax\n4041c0  je      0x4041cc\n4041d1  call    version_etc_arn\n4041f5  mov     dword  ptr  [rsp+0x8], r10d\n4041fa  jmp     0x4041d1\n4041a0  cmp     r10d, 0x2f\n4041a4  ja      0x4041fc\n4041d6  mov     rax, qword  ptr  [rsp+0x78]\n4041e4  jne     0x4041f0\n4041e6  add     rsp, 0xb8\n4041ed  pop     rbx\n4041ee  pop     rbp\n4041ef  ret     \n4041f0  call    __stack_chk_fail\n,\n__stack_chk_failure_loopsub_404205
,404205  nop     \n,Name the following assembly function:\n404205  nop     \n,\nNo Operation (NOP)emit_bug_reporting_address
,404210  push    rbx\n404211  lea     rsi,  [0x4050c2]\n404218  mov     edx, 0x5\n40421d  xor     edi, edi\n40421f  call    dcgettext\n404224  lea     rdx,  [0x4050d7]\n40422b  mov     rsi, rax\n40422e  mov     edi, 0x1\n404233  xor     eax, eax\n404235  call    __printf_chk\n40423a  lea     rsi,  [0x4050ed]\n404241  mov     edx, 0x5\n404246  xor     edi, edi\n404248  call    dcgettext\n40424d  lea     rcx,  [0x404a88]\n404254  lea     rdx,  [0x40491e]\n40425b  mov     rsi, rax\n40425e  mov     edi, 0x1\n404263  xor     eax, eax\n404265  call    __printf_chk\n40426a  mov     rbx,  [stdout@@GLIBC_2.2.5]\n404271  lea     rsi,  [0x405320]\n404278  xor     edi, edi\n40427a  mov     edx, 0x5\n40427f  call    dcgettext\n404284  mov     rsi, rbx\n404287  mov     rdi, rax\n40428a  pop     rbx\n40428b  jmp     fputs_unlocked\n,Name the following assembly function:\n404210  push    rbx\n404211  lea     rsi,  [0x4050c2]\n404218  mov     edx, 0x5\n40421d  xor     edi, edi\n40421f  call    dcgettext\n404224  lea     rdx,  [0x4050d7]\n40422b  mov     rsi, rax\n40422e  mov     edi, 0x1\n404233  xor     eax, eax\n404235  call    __printf_chk\n40423a  lea     rsi,  [0x4050ed]\n404241  mov     edx, 0x5\n404246  xor     edi, edi\n404248  call    dcgettext\n40424d  lea     rcx,  [0x404a88]\n404254  lea     rdx,  [0x40491e]\n40425b  mov     rsi, rax\n40425e  mov     edi, 0x1\n404263  xor     eax, eax\n404265  call    __printf_chk\n40426a  mov     rbx,  [stdout@@GLIBC_2.2.5]\n404271  lea     rsi,  [0x405320]\n404278  xor     edi, edi\n40427a  mov     edx, 0x5\n40427f  call    dcgettext\n404284  mov     rsi, rbx\n404287  mov     rdi, rax\n40428a  pop     rbx\n40428b  jmp     fputs_unlocked\n,\nfputs_unlocked functionxmalloc
,404290  push    rbx\n404291  mov     rbx, rdi\n404294  call    malloc\n404299  test    rax, rax\n40429c  jne     0x4042a3\n40429e  test    rbx, rbx\n4042a1  jne     0x4042a5\n4042a3  pop     rbx\n4042a4  ret     \n4042a5  call    xalloc_die\n,Name the following assembly function:\n404290  push    rbx\n404291  mov     rbx, rdi\n404294  call    malloc\n404299  test    rax, rax\n40429c  jne     0x4042a3\n40429e  test    rbx, rbx\n4042a1  jne     0x4042a5\n4042a3  pop     rbx\n4042a4  ret     \n4042a5  call    xalloc_die\n,\nxalloc_die_if_nullsub_4042aa
,4042aa  nop     word  ptr  [rax+rax]\n,Name the following assembly function:\n4042aa  nop     word  ptr  [rax+rax]\n,\nNo Operation (NOP) function.xnmalloc
,4042b0  mov     rax, rdi\n4042b3  mul     rsi\n4042b6  mov     rdi, rax\n4042b9  seto    al\n4042bc  test    rdi, rdi\n4042bf  js      0x4042cb\n4042cb  sub     rsp, 0x8\n4042cf  call    xalloc_die\n4042c1  movzx   eax, al\n4042c4  test    rax, rax\n4042c7  jne     0x4042cb\n4042c9  jmp     xmalloc\n,Name the following assembly function:\n4042b0  mov     rax, rdi\n4042b3  mul     rsi\n4042b6  mov     rdi, rax\n4042b9  seto    al\n4042bc  test    rdi, rdi\n4042bf  js      0x4042cb\n4042cb  sub     rsp, 0x8\n4042cf  call    xalloc_die\n4042c1  movzx   eax, al\n4042c4  test    rax, rax\n4042c7  jne     0x4042cb\n4042c9  jmp     xmalloc\n,\nxmalloc_safesub_4042d4
,4042d4  nop     \n,Name the following assembly function:\n4042d4  nop     \n,\nNOP (No Operation)xcharalloc
,4042e0  jmp     xmalloc\n,Name the following assembly function:\n4042e0  jmp     xmalloc\n,\nxmalloc()sub_4042e2
,4042e2  nop     dword  ptr  [rax]\n,Name the following assembly function:\n4042e2  nop     dword  ptr  [rax]\n,\nNo Operation (NOP)xrealloc
,4042f0  test    rsi, rsi\n4042f3  push    rbx\n4042f4  mov     rbx, rsi\n4042f7  jne     0x4042fe\n4042f9  test    rdi, rdi\n4042fc  jne     0x404318\n4042fe  mov     rsi, rbx\n404301  call    realloc\n404318  call    free\n404306  test    rax, rax\n404309  jne     0x404310\n40431d  xor     eax, eax\n40431f  pop     rbx\n404320  ret     \n40430b  test    rbx, rbx\n40430e  jne     0x404321\n404310  pop     rbx\n404311  ret     \n404321  call    xalloc_die\n,Name the following assembly function:\n4042f0  test    rsi, rsi\n4042f3  push    rbx\n4042f4  mov     rbx, rsi\n4042f7  jne     0x4042fe\n4042f9  test    rdi, rdi\n4042fc  jne     0x404318\n4042fe  mov     rsi, rbx\n404301  call    realloc\n404318  call    free\n404306  test    rax, rax\n404309  jne     0x404310\n40431d  xor     eax, eax\n40431f  pop     rbx\n404320  ret     \n40430b  test    rbx, rbx\n40430e  jne     0x404321\n404310  pop     rbx\n404311  ret     \n404321  call    xalloc_die\n,\nrealloc_or_freesub_404312
,404312  nop     word  ptr  [rax+rax]\n,Name the following assembly function:\n404312  nop     word  ptr  [rax+rax]\n,\nNo Operation (NOP) Instructionsub_404326
,,Name the following assembly function:\n,\nMOVSB\n\nMOVSB is a machine language assembly instruction that stands for Move String Byte. It is used to copy a byte from the source location to the destination location, one byte at a time.xnrealloc
,404330  mov     rax, rsi\n404333  mul     rdx\n404336  mov     rsi, rax\n404339  seto    al\n40433c  test    rsi, rsi\n40433f  js      0x40434b\n40434b  sub     rsp, 0x8\n40434f  call    xalloc_die\n404341  movzx   eax, al\n404344  test    rax, rax\n404347  jne     0x40434b\n404349  jmp     xrealloc\n,Name the following assembly function:\n404330  mov     rax, rsi\n404333  mul     rdx\n404336  mov     rsi, rax\n404339  seto    al\n40433c  test    rsi, rsi\n40433f  js      0x40434b\n40434b  sub     rsp, 0x8\n40434f  call    xalloc_die\n404341  movzx   eax, al\n404344  test    rax, rax\n404347  jne     0x40434b\n404349  jmp     xrealloc\n,\nxrealloc_or_diesub_404354
,404354  nop     \n,Name the following assembly function:\n404354  nop     \n,\nAnswer: NOP (No Operation)x2nrealloc
,404360  test    rdi, rdi\n404363  mov     r9, rdx\n404366  mov     rcx, qword  ptr  [rsi]\n404369  je      0x4043a0\n4043a0  test    rcx, rcx\n4043a3  je      0x4043c8\n40436b  xor     edx, edx\n40436d  movabs  rax, 0x5555555555555554\n404377  div     r9\n40437a  cmp     rax, rcx\n40437d  jbe     0x4043bb\n4043c8  xor     edx, edx\n4043ca  mov     eax, 0x80\n4043cf  xor     r8d, r8d\n4043d2  div     r9\n4043d5  test    rax, rax\n4043d8  sete    r8b\n4043dc  lea     rcx,  [r8+rax]\n4043e0  jmp     0x4043a5\n4043a5  mov     rax, rcx\n4043a8  mul     r9\n4043ab  seto    dl\n4043ae  test    rax, rax\n4043b1  movzx   edx, dl\n4043b4  js      0x4043bb\n4043bb  sub     rsp, 0x8\n4043bf  call    xalloc_die\n40437f  mov     rax, rcx\n404382  shr     rax, 0x1\n404385  lea     rcx,  [rax+rcx+0x1]\n\n40438a  mov     qword  ptr  [rsi], rcx\n40438d  imul    rcx, r9\n404391  mov     rsi, rcx\n404394  jmp     xrealloc\n4043b6  test    rdx, rdx\n4043b9  je      0x40438a\n40438a  mov     qword  ptr  [rsi], rcx\n40438d  imul    rcx, r9\n404391  mov     rsi, rcx\n404394  jmp     xrealloc\n,Name the following assembly function:\n404360  test    rdi, rdi\n404363  mov     r9, rdx\n404366  mov     rcx, qword  ptr  [rsi]\n404369  je      0x4043a0\n4043a0  test    rcx, rcx\n4043a3  je      0x4043c8\n40436b  xor     edx, edx\n40436d  movabs  rax, 0x5555555555555554\n404377  div     r9\n40437a  cmp     rax, rcx\n40437d  jbe     0x4043bb\n4043c8  xor     edx, edx\n4043ca  mov     eax, 0x80\n4043cf  xor     r8d, r8d\n4043d2  div     r9\n4043d5  test    rax, rax\n4043d8  sete    r8b\n4043dc  lea     rcx,  [r8+rax]\n4043e0  jmp     0x4043a5\n4043a5  mov     rax, rcx\n4043a8  mul     r9\n4043ab  seto    dl\n4043ae  test    rax, rax\n4043b1  movzx   edx, dl\n4043b4  js      0x4043bb\n4043bb  sub     rsp, 0x8\n4043bf  call    xalloc_die\n40437f  mov     rax, rcx\n404382  shr     rax, 0x1\n404385  lea     rcx,  [rax+rcx+0x1]\n\n40438a  mov     qword  ptr  [rsi], rcx\n40438d  imul    rcx, r9\n404391  mov     rsi, rcx\n404394  jmp     xrealloc\n4043b6  test    rdx, rdx\n4043b9  je      0x40438a\n40438a  mov     qword  ptr  [rsi], rcx\n40438d  imul    rcx, r9\n404391  mov     rsi, rcx\n404394  jmp     xrealloc\n,\nxrealloc_expandsub_404399
,404399  nop     dword  ptr  [rax]\n,Name the following assembly function:\n404399  nop     dword  ptr  [rax]\n,\nNo operation (NOP)sub_4043c4
,4043c4  nop     dword  ptr  [rax]\n,Name the following assembly function:\n4043c4  nop     dword  ptr  [rax]\n,\nNo Operation (NOP)sub_4043e2
,4043e2  nop     dword  ptr  [rax]\n,Name the following assembly function:\n4043e2  nop     dword  ptr  [rax]\n,\nNo Operation (NOP)x2realloc
,4043f0  test    rdi, rdi\n4043f3  mov     rax, qword  ptr  [rsi]\n4043f6  je      0x404420\n404420  test    rax, rax\n404423  mov     edx, 0x80\n404428  cmove   rax, rdx\n40442c  test    rax, rax\n40442f  jns     0x404412\n4043f8  movabs  rdx, 0x5555555555555553\n404402  cmp     rax, rdx\n404405  ja      0x404431\n404431  sub     rsp, 0x8\n404435  call    xalloc_die\n404412  mov     qword  ptr  [rsi], rax\n404415  mov     rsi, rax\n404418  jmp     xrealloc\n404407  mov     rdx, rax\n40440a  shr     rdx, 0x1\n40440d  lea     rax,  [rdx+rax+0x1]\n\n404412  mov     qword  ptr  [rsi], rax\n404415  mov     rsi, rax\n404418  jmp     xrealloc\n,Name the following assembly function:\n4043f0  test    rdi, rdi\n4043f3  mov     rax, qword  ptr  [rsi]\n4043f6  je      0x404420\n404420  test    rax, rax\n404423  mov     edx, 0x80\n404428  cmove   rax, rdx\n40442c  test    rax, rax\n40442f  jns     0x404412\n4043f8  movabs  rdx, 0x5555555555555553\n404402  cmp     rax, rdx\n404405  ja      0x404431\n404431  sub     rsp, 0x8\n404435  call    xalloc_die\n404412  mov     qword  ptr  [rsi], rax\n404415  mov     rsi, rax\n404418  jmp     xrealloc\n404407  mov     rdx, rax\n40440a  shr     rdx, 0x1\n40440d  lea     rax,  [rdx+rax+0x1]\n\n404412  mov     qword  ptr  [rsi], rax\n404415  mov     rsi, rax\n404418  jmp     xrealloc\n,\nxreallocsub_40441d
,40441d  nop     dword  ptr  [rax]\n,Name the following assembly function:\n40441d  nop     dword  ptr  [rax]\n,\nNo Operation (NOP)sub_40443a
,40443a  nop     word  ptr  [rax+rax]\n,Name the following assembly function:\n40443a  nop     word  ptr  [rax+rax]\n,\nNo Operation (NOP)xzalloc
,404440  push    rbx\n404441  mov     rbx, rdi\n404444  call    xmalloc\n404449  mov     rdx, rbx\n40444c  xor     esi, esi\n40444e  mov     rdi, rax\n404451  pop     rbx\n404452  jmp     memset\n,Name the following assembly function:\n404440  push    rbx\n404441  mov     rbx, rdi\n404444  call    xmalloc\n404449  mov     rdx, rbx\n40444c  xor     esi, esi\n40444e  mov     rdi, rax\n404451  pop     rbx\n404452  jmp     memset\n,\nmemcpy_xmallocsub_404457
,404457  nop     word  ptr  [rax+rax]\n,Name the following assembly function:\n404457  nop     word  ptr  [rax+rax]\n,\nNo Operation (NOP)xcalloc
,404460  mov     rax, rdi\n404463  sub     rsp, 0x8\n404467  mul     rsi\n40446a  seto    dl\n40446d  test    rax, rax\n404470  js      0x404489\n404489  call    xalloc_die\n404472  movzx   edx, dl\n404475  test    rdx, rdx\n404478  jne     0x404489\n40447a  call    calloc\n40447f  test    rax, rax\n404482  je      0x404489\n404484  add     rsp, 0x8\n404488  ret     \n,Name the following assembly function:\n404460  mov     rax, rdi\n404463  sub     rsp, 0x8\n404467  mul     rsi\n40446a  seto    dl\n40446d  test    rax, rax\n404470  js      0x404489\n404489  call    xalloc_die\n404472  movzx   edx, dl\n404475  test    rdx, rdx\n404478  jne     0x404489\n40447a  call    calloc\n40447f  test    rax, rax\n404482  je      0x404489\n404484  add     rsp, 0x8\n404488  ret     \n,\ncalloc_or_diesub_40448e
,40448e  nop     \n,Name the following assembly function:\n40448e  nop     \n,\nNOP (No Operation)xmemdup
,404490  push    rbp\n404491  push    rbx\n404492  mov     rbp, rdi\n404495  mov     rdi, rsi\n404498  mov     rbx, rsi\n40449b  sub     rsp, 0x8\n40449f  call    xmalloc\n4044a4  add     rsp, 0x8\n4044a8  mov     rdx, rbx\n4044ab  mov     rsi, rbp\n4044ae  pop     rbx\n4044af  pop     rbp\n4044b0  mov     rdi, rax\n4044b3  jmp     memcpy\n,Name the following assembly function:\n404490  push    rbp\n404491  push    rbx\n404492  mov     rbp, rdi\n404495  mov     rdi, rsi\n404498  mov     rbx, rsi\n40449b  sub     rsp, 0x8\n40449f  call    xmalloc\n4044a4  add     rsp, 0x8\n4044a8  mov     rdx, rbx\n4044ab  mov     rsi, rbp\n4044ae  pop     rbx\n4044af  pop     rbp\n4044b0  mov     rdi, rax\n4044b3  jmp     memcpy\n,\nmemcpy(xmalloc(), rsi, rbp)sub_4044b8
,4044b8  nop     dword  ptr  [rax+rax]\n,Name the following assembly function:\n4044b8  nop     dword  ptr  [rax+rax]\n,\nNo Operation (NOP) Functionxstrdup
,4044c0  push    rbx\n4044c1  mov     rbx, rdi\n4044c4  call    strlen\n4044c9  mov     rdi, rbx\n4044cc  lea     rsi,  [rax+0x1]\n4044d0  pop     rbx\n4044d1  jmp     xmemdup\n,Name the following assembly function:\n4044c0  push    rbx\n4044c1  mov     rbx, rdi\n4044c4  call    strlen\n4044c9  mov     rdi, rbx\n4044cc  lea     rsi,  [rax+0x1]\n4044d0  pop     rbx\n4044d1  jmp     xmemdup\n,\nxmemdup_with_lengthsub_4044d3
,4044dd  nop     dword  ptr  [rax]\n,Name the following assembly function:\n4044dd  nop     dword  ptr  [rax]\n,\nNo Operation (NOP)xalloc_die
,4044e0  lea     rsi,  [0x4053cf]\n4044e7  sub     rsp, 0x8\n4044eb  mov     edx, 0x5\n4044f0  xor     edi, edi\n4044f2  call    dcgettext\n4044f7  mov     edi,  [exit_failure]\n4044fd  lea     rdx,  [0x404b40]\n404504  mov     rcx, rax\n404507  xor     esi, esi\n404509  xor     eax, eax\n40450b  call    error\n404510  call    abort\n,Name the following assembly function:\n4044e0  lea     rsi,  [0x4053cf]\n4044e7  sub     rsp, 0x8\n4044eb  mov     edx, 0x5\n4044f0  xor     edi, edi\n4044f2  call    dcgettext\n4044f7  mov     edi,  [exit_failure]\n4044fd  lea     rdx,  [0x404b40]\n404504  mov     rcx, rax\n404507  xor     esi, esi\n404509  xor     eax, eax\n40450b  call    error\n404510  call    abort\n,\ndcgettext()sub_404515
,40451f  nop     \n,Name the following assembly function:\n40451f  nop     \n,\nNOP (No Operation)rpl_mbrtowc
,404520  push    r13\n404522  push    r12\n404524  mov     r13, rsi\n404527  push    rbp\n404528  push    rbx\n404529  mov     rbx, rdi\n40452c  mov     r12, rdx\n40452f  sub     rsp, 0x18\n40453c  mov     qword  ptr  [rsp+0x8], rax\n404541  xor     eax, eax\n404543  lea     rax,  [rsp+0x4]\n404548  test    rdi, rdi\n40454b  cmove   rbx, rax\n40454f  mov     rdi, rbx\n404552  call    mbrtowc\n404557  cmp     rax, -0x3\n40455b  mov     rbp, rax\n40455e  jbe     0x404580\n404580  mov     rdx, qword  ptr  [rsp+0x8]\n40458e  mov     rax, rbp\n404591  jne     0x40459e\n404560  test    r12, r12\n404563  je      0x404580\n404593  add     rsp, 0x18\n404597  pop     rbx\n404598  pop     rbp\n404599  pop     r12\n40459b  pop     r13\n40459d  ret     \n40459e  call    __stack_chk_fail\n404565  xor     edi, edi\n404567  call    hard_locale\n40456c  test    al, al\n40456e  jne     0x404580\n404570  movzx   eax, byte  ptr  [r13]\n404575  mov     ebp, 0x1\n40457a  mov     dword  ptr  [rbx], eax\n40457c  nop     dword  ptr  [rax]\n\n404580  mov     rdx, qword  ptr  [rsp+0x8]\n40458e  mov     rax, rbp\n404591  jne     0x40459e\n,Name the following assembly function:\n404520  push    r13\n404522  push    r12\n404524  mov     r13, rsi\n404527  push    rbp\n404528  push    rbx\n404529  mov     rbx, rdi\n40452c  mov     r12, rdx\n40452f  sub     rsp, 0x18\n40453c  mov     qword  ptr  [rsp+0x8], rax\n404541  xor     eax, eax\n404543  lea     rax,  [rsp+0x4]\n404548  test    rdi, rdi\n40454b  cmove   rbx, rax\n40454f  mov     rdi, rbx\n404552  call    mbrtowc\n404557  cmp     rax, -0x3\n40455b  mov     rbp, rax\n40455e  jbe     0x404580\n404580  mov     rdx, qword  ptr  [rsp+0x8]\n40458e  mov     rax, rbp\n404591  jne     0x40459e\n404560  test    r12, r12\n404563  je      0x404580\n404593  add     rsp, 0x18\n404597  pop     rbx\n404598  pop     rbp\n404599  pop     r12\n40459b  pop     r13\n40459d  ret     \n40459e  call    __stack_chk_fail\n404565  xor     edi, edi\n404567  call    hard_locale\n40456c  test    al, al\n40456e  jne     0x404580\n404570  movzx   eax, byte  ptr  [r13]\n404575  mov     ebp, 0x1\n40457a  mov     dword  ptr  [rbx], eax\n40457c  nop     dword  ptr  [rax]\n\n404580  mov     rdx, qword  ptr  [rsp+0x8]\n40458e  mov     rax, rbp\n404591  jne     0x40459e\n,\nmovzx_call_hard_localesub_4045a3
,4045ad  nop     dword  ptr  [rax]\n,Name the following assembly function:\n4045ad  nop     dword  ptr  [rax]\n,\nNo Operation (NOP)close_stream
